Ligne;Mots retenus;PoS;lemmes;Ner_PERS;Ner_ORG;Ner_LIEU;Ner_COVID
Les;[];[];[];[];[];[];[]
Etats;[etats];[N];[etats];[];[];[];[]
-;[];[];[];[];[];[];[]
Unis;[unis];[ADJ];[unis];[];[];[];[]
est;[est];[V];[être];[];[];[];[]
le;[];[];[];[];[];[];[]
pays;[pays];[NC];[pays];[];[];[];[]
le;[];[];[];[];[];[];[]
plus;[];[];[];[];[];[];[]
endeuillé;[endeuillé];[VPP];[endeuillé];[];[];[];[]
au;[];[];[];[];[];[];[]
monde;[monde];[NC];[monde];[];[];[];[]
avec;[];[];[];[];[];[];[]
247;[];[];[];[];[];[];[]
116;[];[];[];[];[];[];[]
décès;[décès];[NC];[décès];[];[];[];[]
devant;[];[];[];[];[];[];[]
le;[];[];[];[];[];[];[]
Brésil;[brésil];[NPP];[brésil];[];[];[brésil];[]
(;[];[];[];[];[];[];[]
166.014;[];[];[];[];[];[];[]
morts;[morts];[NC];[mort];[];[];[];[]
);[];[];[];[];[];[];[]
.;[];[];[];[];[];[];[]
7h46;[7h46];[ADJ];[7h46];[];[];[];[]
:;[];[];[];[];[];[];[]
Les;[];[];[];[];[];[];[]
contacts;[contacts];[NC];[contact];[];[];[];[]
doivent;[doivent];[V];[devoir];[];[];[];[]
être;[être];[VINF];[être];[];[];[];[]
réduits;[réduits];[VPP];[réduire];[];[];[];[]
en;[];[];[];[];[];[];[]
Allemagne;[allemagne];[NPP];[allemagne];[];[];[allemagne];[]
En;[];[];[];[];[];[];[]
Allemagne;[allemagne];[NPP];[allemagne];[];[];[allemagne];[]
,;[];[];[];[];[];[];[]
où;[];[];[];[];[];[];[]
une;[];[];[];[];[];[];[]
forte;[forte];[ADJ];[fort];[];[];[];[]
hausse;[hausse];[NC];[hausse];[];[];[];[]
des;[];[];[];[];[];[];[]
infections;[infections];[NC];[infection];[];[];[];[]
a;[];[];[];[];[];[];[]
été;[été];[VPP];[être];[];[];[];[]
observée;[observée];[VPP];[observer];[];[];[];[]
depuis;[];[];[];[];[];[];[]
plusieurs;[];[];[];[];[];[];[]
semaines;[semaines];[NC];[semaine];[];[];[];[]
,;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
chancelière;[chancelière];[NC];[chancelière];[];[];[];[]
Angela;[angela];[NPP];[angela];[];[];[angela];[]
Merkel;[merkel];[NC];[merkel];[];[];[];[]
a;[];[];[];[];[];[];[]
appelé;[appelé];[VPP];[appeler];[];[];[];[]
les;[];[];[];[];[];[];[]
Allemands;[allemands];[NC];[allemands];[];[];[];[]
à;[];[];[];[];[];[];[]
réduire;[réduire];[VINF];[réduire];[];[];[];[]
les;[];[];[];[];[];[];[]
contacts;[contacts];[NC];[contact];[];[];[];[]
au;[];[];[];[];[];[];[]
strict;[strict];[ADJ];[strict];[];[];[];[]
minimum;[minimum];[ADJ];[minimum];[];[];[];[]
.;[];[];[];[];[];[];[]
;[];[];[];[];[];[];[]
Il;[];[];[];[];[];[];[]
nous;[];[];[];[];[];[];[]
reste;[reste];[V];[rester];[];[];[];[]
un;[];[];[];[];[];[];[]
long;[long];[ADJ];[long];[];[];[];[]
chemin;[chemin];[NC];[chemin];[];[];[];[]
à;[];[];[];[];[];[];[]
parcourir;[parcourir];[VINF];[parcourir];[];[];[];[]
,;[];[];[];[];[];[];[]
mais;[];[];[];[];[];[];[]
la;[];[];[];[];[];[];[]
bonne;[bonne];[ADJ];[bon];[];[];[];[]
nouvelle;[nouvelle];[ADJ];[nouvelle];[];[];[];[]
est;[est];[V];[être];[];[];[];[]
que;[];[];[];[];[];[];[]
nous;[];[];[];[];[];[];[]
avons;[avons];[V];[avoir];[];[];[];[]
réussi;[réussi];[VPP];[réussir];[];[];[];[]
à;[];[];[];[];[];[];[]
stopper;[stopper];[VINF];[stopper];[];[];[];[]
la;[];[];[];[];[];[];[]
croissance;[croissance];[NC];[croissance];[];[];[];[]
exponentielle;[exponentielle];[ADJ];[exponentiel];[];[];[];[]
;[];[];[];[];[];[];[]
du;[];[];[];[];[];[];[]
virus;[virus];[NC];[virus];[];[];[];[virus]
,;[];[];[];[];[];[];[]
a;[];[];[];[];[];[];[]
déclaré;[déclaré];[VPP];[déclarer];[];[];[];[]
Mme;[mme];[NC];[mme];[];[];[];[]
Merkel;[merkel];[NC];[merkel];[];[];[];[]
.;[];[];[];[];[];[];[]
7h24;[7h24];[ADJ];[7h24];[];[];[];[]
:;[];[];[];[];[];[];[]
Emmanuel;[emmanuel];[NPP];[emmanuel];[];[];[];[]
Macron;[macron];[NPP];[macron];[macron];[];[];[]
prend;[prend];[V];[prendre];[];[];[];[]
le;[];[];[];[];[];[];[]
pouls;[pouls];[NC];[pouls];[];[];[];[]
d’un;[];[];[];[];[];[];[]
monde;[monde];[NC];[monde];[];[];[];[]
du;[];[];[];[];[];[];[]
sport;[sport];[NC];[sport];[];[];[];[]
très;[];[];[];[];[];[];[]
inquiet;[inquiet];[ADJ];[inquiet];[];[];[];[]
Emmanuel;[emmanuel];[NPP];[emmanuel];[];[];[];[]
Macron;[macron];[NPP];[macron];[macron];[];[];[]
va;[va];[V];[aller];[];[];[];[]
prendre;[prendre];[VINF];[prendre];[];[];[];[]
ce;[];[];[];[];[];[];[]
mardi;[mardi];[NC];[mardi];[];[];[];[]
matin;[matin];[NC];[matin];[];[];[];[]
le;[];[];[];[];[];[];[]
pouls;[pouls];[NC];[pouls];[];[];[];[]
d’un;[];[];[];[];[];[];[]
monde;[monde];[NC];[monde];[];[];[];[]
du;[];[];[];[];[];[];[]
sport;[sport];[NC];[sport];[];[];[];[]
français;[français];[ADJ];[français];[];[];[];[]
qui;[];[];[];[];[];[];[]
se;[];[];[];[];[];[];[]
sent;[sent];[V];[sentir];[];[];[];[]
délaissé;[délaissé];[VPP];[délaisser];[];[];[];[]
et;[];[];[];[];[];[];[]
réclame;[réclame];[V];[réclamer];[];[];[];[]
un;[];[];[];[];[];[];[]
plan;[plan];[NC];[plan];[];[];[];[]
d’urgence;[urgence];[NC];[urgence];[];[];[];[]
pour;[];[];[];[];[];[];[]
ne;[];[];[];[];[];[];[]
pas;[];[];[];[];[];[];[]
sombrer;[sombrer];[VINF];[sombrer];[];[];[];[]
dans;[];[];[];[];[];[];[]
les;[];[];[];[];[];[];[]
prochains;[prochains];[ADJ];[prochain];[];[];[];[]
mois;[mois];[NC];[mois];[];[];[];[]
.;[];[];[];[];[];[];[]
Le;[];[];[];[];[];[];[]
premier;[premier];[ADJ];[premier];[];[];[];[]
confinement;[];[];[];[];[];[];[]
du;[];[];[];[];[];[];[]
printemps;[printemps];[NC];[printemps];[];[];[];[]
avait;[avait];[V];[avoir];[];[];[];[]
figé;[figé];[VPP];[figer];[];[];[];[]
toute;[toute];[ADJ];[toute];[];[];[];[]
la;[];[];[];[];[];[];[]
France;[france];[NPP];[france];[];[];[france];[]
,;[];[];[];[];[];[];[]
stades;[stades];[NC];[stade];[];[];[];[]
compris;[compris];[VPP];[comprendre];[];[];[];[]
au;[];[];[];[];[];[];[]
grand;[grand];[ADJ];[grand];[];[];[];[]
dam;[dam];[NC];[dam];[];[];[];[]
du;[];[];[];[];[];[];[]
football;[football];[NC];[football];[];[];[];[]
français;[français];[ADJ];[français];[];[];[];[]
,;[];[];[];[];[];[];[]
le;[];[];[];[];[];[];[]
